,combo,HR_hsa_tmle,HR_hsa_tmle_lower,HR_hsa_tmle_upper,HR_hsa_js,HR_hsa_js_lower,HR_hsa_js_upper,HR_add_js,HR_add_js_lower,HR_add_js_upper
16,"Bevacizumab + fluorouracil, irinotecan, leucovorin, oxaliplatin",3.0090362793270575,2.0430154697631364,4.431831018565983,8.107362678652722,5.35737618055234,12.268940501474063,3.218910038016829,2.1451321973872184,4.830183354417839
17,"Bevacizumab, irinotecan + fluorouracil, leucovorin, oxaliplatin",2.864251327655402,1.9216782842748827,4.269151467812608,3.412695298919634,2.2934379851996076,5.07817925683067,1.0685092548607003,0.7226272058340819,1.5799460890836026
18,"Bevacizumab, fluorouracil, leucovorin, oxaliplatin + irinotecan",2.280369403634693,1.555026388094566,3.344049115079719,2.7438850920069604,1.8609376591788092,4.045759061837884,0.7712216746905857,0.5238258912973373,1.135459093172119
19,"Bevacizumab + fluorouracil, leucovorin",0.751286347442942,0.5575320516271152,1.0123743992958025,1.3713941564266041,1.009342102469809,1.8633146558327502,0.743185272014205,0.5487189606526622,1.006570554591147
20,"Bevacizumab + fluorouracil, leucovorin, oxaliplatin",1.6828884468974965,1.412517903809692,2.0050107096431096,2.6229974337016047,2.176841261832511,3.160595886267508,1.3550530886555618,1.1304971357075764,1.624213644668567
21,Bevacizumab + irinotecan,1.0776320562370898,0.7239257793220962,1.6041573346334514,1.8506323767225388,1.1849920749920004,2.8901798299341652,1.0480246618413456,0.6962764493175061,1.577470691281144
22,Bevacizumab + tipiracil_trifluridine,2.067116558370195,1.497435173455912,2.853526444171004,2.7348096716175787,1.9680538780880126,3.800294302531577,0.7801845952897591,0.5690741512983631,1.0696110539174932
23,"Capecitabine + fluorouracil, leucovorin, oxaliplatin",0.8235973371049761,0.5057943409062363,1.3410837544585192,1.1471889661344146,0.7036215789052066,1.870383972686328,0.753334691501163,0.4624982022273425,1.2270602451773194
24,"Capecitabine, oxaliplatin + fluorouracil, leucovorin",0.5731769248698411,0.3524102549188971,0.9322424152465566,1.0722190160960914,0.6575741982715443,1.748325316747484,0.677811560430227,0.41662326676983785,1.1027432889547883
25,"Cetuximab, irinotecan + fluorouracil, leucovorin",1.3385540558119076,0.859475783695352,2.084674163391669,1.7264744938656766,1.0827844526743728,2.75282321482052,0.7183033267718406,0.46207841198755245,1.116606307211324
26,"Fluorouracil, leucovorin + irinotecan",1.279930096276609,1.0664348290353047,1.53616611793951,1.7518396633021065,1.45287825458365,2.112318906444024,0.8424752815160513,0.7014940835481224,1.011789859118406
27,"Fluorouracil, leucovorin, oxaliplatin + irinotecan",2.052907394567805,1.036264494179907,4.066943135021185,0.6079549522077268,0.3094791573561288,1.1942943979538392,0.39268993759330695,0.20237069378786282,0.7619946554548196
28,"Fluorouracil, leucovorin + irinotecan, panitumumab",1.3981927883844116,1.0865859102085305,1.7991610742633282,1.5398109462355336,1.1955346930094746,1.9832278929340774,0.768607714746974,0.6007681057974902,0.9833375198644471
29,"Fluorouracil, irinotecan, leucovorin + panitumumab",1.1695662973913112,0.9151242759665053,1.4947536197189546,1.3330024448272628,1.0366571179269257,1.7140629116296806,0.7435013572927315,0.5821076393718103,0.9496426964825436
30,"Fluorouracil, leucovorin, oxaliplatin + panitumumab",0.9751123249368099,0.6400961357407227,1.4854706865920209,1.194225367505212,0.7830179538820956,1.8213812612114222,0.5912747170736212,0.3890676445400222,0.898573283994907
31,Irinotecan + panitumumab,0.6709028734795404,0.42823680048198676,1.0510789010577746,1.109510584889549,0.6794474604896901,1.8117865023658126,0.6679184480437773,0.42478964908426897,1.0502022688144848
